"","home_team","yardline_100","game_seconds_remaining","down","goal_to_go","yards_gained","shotgun","no_huddle","qb_dropback","qb_scramble","run_location","run_gap","td_team","score_differential","first_down_rush","incomplete_pass"
"1",1,75,3596,1,0,-1,1,0,0,0,"middle","center",0,0,0,0
"12",1,38,1236,1,0,0,1,0,0,0,"middle","center",0,10,0,0
"16",1,26,814,1,0,-1,1,0,0,0,"left","end",0,17,0,0
"18",1,46,447,1,0,0,1,0,0,0,"middle","center",0,18,0,0
"33",0,67,2396,1,0,0,0,0,0,0,"left","guard",0,3,0,0
"47",0,74,900,1,0,-4,1,0,0,0,"left","end",0,3,0,0
"60",1,35,2738,2,0,-5,0,0,0,0,"left","end",0,-14,0,0
"68",1,61,1719,1,0,-1,0,0,0,0,"right","end",0,-14,0,0
"70",1,75,1374,1,0,0,0,0,0,0,"middle","center",0,-17,0,0
"74",1,40,1095,1,0,-1,0,0,0,0,"left","end",0,-17,0,0
"91",0,80,1169,1,0,0,0,0,0,0,"right","guard",0,4,0,0
"100",0,86,3001,1,0,-2,0,0,0,0,"left","guard",0,0,0,0
"107",0,30,1415,1,0,-2,1,0,0,0,"middle","center",0,4,0,0
"116",0,5,719,4,0,-2,0,0,0,0,"left","tackle",0,4,0,0
"120",0,37,131,1,0,-2,0,0,0,0,"middle","center",0,7,0,0
"121",0,39,120,2,0,0,1,0,0,0,"middle","center",0,7,0,0
"127",1,37,3000,1,0,-3,0,0,0,0,"middle","center",0,0,0,0
"128",1,56,2700,1,0,0,0,0,0,0,"middle","center",0,3,0,0
"129",1,82,2478,1,0,-2,0,0,0,0,"left","end",0,3,0,0
"139",1,8,790,1,1,-5,1,0,0,0,"left","end",0,0,0,0
"147",0,90,3268,3,0,-3,0,0,0,0,"left","end",0,0,0,0
"149",0,39,2878,2,0,-11,1,0,0,0,"left","end",0,0,0,0
"150",0,88,2608,1,0,0,0,0,0,0,"right","tackle",0,0,0,0
"154",0,1,1894,1,1,-1,0,0,0,0,"middle","center",0,-3,0,0
"157",0,75,1307,1,0,0,0,0,0,0,"left","tackle",0,-2,0,0
"160",0,75,761,1,0,-5,0,0,0,0,"middle","center",0,-7,0,0
"162",0,60,678,1,0,0,0,0,0,0,"right","tackle",0,-7,0,0
"163",0,50,100,1,0,-2,1,0,0,0,"middle","center",0,-17,0,0
"164",0,1,58,1,1,0,0,0,0,0,"middle","center",0,-17,0,0
"167",1,47,3191,3,0,0,0,0,0,0,"middle","center",0,-6,0,0
"170",1,75,2771,1,0,0,0,0,0,0,"left","end",0,-6,0,0
"185",1,90,3001,2,0,-2,0,0,0,0,"left","tackle",0,3,0,0
"193",1,39,2397,3,0,0,1,0,0,0,"left","guard",0,3,0,0
"207",1,64,345,2,0,-1,1,0,0,0,"left","tackle",0,16,0,0
"210",1,40,219,1,0,0,0,0,0,0,"middle","center",0,23,0,0
"211",1,40,179,2,0,0,1,0,0,0,"left","tackle",0,23,0,0
"212",1,40,133,3,0,0,0,0,0,0,"right","tackle",0,23,0,0
"219",0,26,2864,1,0,0,1,0,0,0,"left","end",0,-7,0,0
"233",0,1,1447,3,1,0,0,0,0,0,"middle","center",0,3,0,0
"235",0,19,1054,1,0,-2,0,0,0,0,"middle","center",0,10,0,0
"249",0,43,3121,1,0,0,0,0,0,0,"middle","center",0,0,0,0
"251",0,63,2931,1,0,0,0,0,0,0,"left","guard",0,0,0,0
"253",0,21,2813,1,0,-5,0,0,0,0,"left","end",0,0,0,0
"257",0,54,2357,2,0,-2,0,0,0,0,"middle","center",0,0,0,0
"277",1,40,3422,1,0,0,0,0,0,0,"middle","center",0,0,0,0
"284",1,1,2324,1,1,0,0,0,0,0,"middle","center",0,13,0,0
"290",1,11,1873,1,0,-2,0,0,0,0,"middle","center",0,20,0,0
"291",1,60,1668,1,0,-1,0,0,0,0,"middle","center",0,23,0,0
"292",1,51,1591,3,0,0,0,0,0,0,"middle","center",0,23,0,0
"299",1,97,366,1,0,0,0,0,0,0,"middle","center",0,12,0,0
"300",1,98,308,2,0,0,0,0,0,0,"middle","center",0,12,0,0
"302",1,23,192,2,0,-3,0,0,0,0,"middle","center",0,12,0,0
"304",1,5,96,1,1,0,0,0,0,0,"middle","center",0,15,0,0
"305",1,5,57,2,1,0,0,0,0,0,"middle","center",0,15,0,0
"306",1,5,31,3,1,0,0,0,0,0,"middle","center",0,15,0,0
"312",1,65,2456,1,0,0,1,0,0,0,"left","end",0,4,0,0
"319",1,84,1795,1,0,0,0,0,0,0,"right","end",0,21,0,0
