"","home_team","yardline_100","game_seconds_remaining","down","goal_to_go","yards_gained","shotgun","no_huddle","qb_dropback","qb_scramble","run_location","run_gap","td_team","score_differential","first_down_rush","incomplete_pass"
"4",1,62,2782,1,0,12,0,0,0,0,"left","end",0,-10,1,0
"10",1,48,1582,3,0,14,1,0,0,0,"middle","center",0,-10,1,0
"13",1,91,963,3,0,10,1,0,0,0,"middle","center",0,-17,0,0
"22",0,84,2763,3,0,21,1,0,1,1,"right","end",0,-3,1,0
"25",0,62,2278,2,0,10,0,0,0,0,"left","end",0,-3,1,0
"27",0,37,2085,2,0,14,0,0,0,0,"middle","center",0,-3,0,0
"36",0,31,52,4,0,18,1,0,1,1,"right","end",0,-7,1,0
"45",1,63,2523,3,0,10,1,0,1,1,"right","tackle",0,14,0,0
"53",1,78,278,1,0,69,0,0,0,0,"middle","center",0,13,1,0
"61",0,45,3040,2,0,10,1,0,0,0,"left","tackle",0,-7,1,0
"63",0,75,2619,1,0,11,0,0,0,0,"left","tackle",0,-11,1,0
"67",0,75,1800,1,0,13,0,0,0,0,"left","tackle",0,-11,1,0
"78",0,93,1077,1,0,81,0,0,0,0,"left","tackle",0,-4,1,0
"80",0,89,916,1,0,13,0,0,0,0,"left","guard",0,3,0,0
"82",0,73,852,2,0,11,0,0,0,0,"left","end",0,3,1,0
"84",0,91,556,2,0,26,0,0,0,0,"left","tackle",0,3,1,0
"87",0,54,379,1,0,16,0,0,0,0,"left","tackle",0,3,1,0
"97",0,63,2777,1,0,14,0,0,0,0,"left","guard",0,-7,1,0
"114",0,59,1128,3,0,10,1,0,1,1,"middle","center",0,-4,0,0
"115",0,93,713,1,0,48,0,0,0,0,"left","tackle",0,-4,1,0
"123",0,60,200,1,0,11,1,0,1,1,"middle","center",0,-7,1,0
"141",1,34,1245,3,0,16,0,0,0,0,"left","end",0,-3,1,0
"147",0,53,3526,2,0,19,0,0,0,0,"right","guard",0,0,1,0
"153",0,98,2776,2,0,15,0,0,0,0,"left","guard",0,0,1,0
"154",0,83,2730,1,0,20,0,0,1,1,"middle","center",0,0,1,0
"155",0,63,2700,1,0,20,0,0,0,0,"left","end",0,0,1,0
"164",0,91,2063,2,0,16,1,0,1,1,"left","tackle",0,3,1,0
"170",0,46,1543,2,0,13,0,0,0,0,"left","guard",0,-1,1,0
"177",0,75,931,1,0,20,0,0,0,0,"left","tackle",0,-1,1,0
"183",0,37,239,1,0,13,0,0,0,0,"right","guard",0,14,1,0
"189",1,75,3555,2,0,66,0,0,0,0,"middle","center",0,0,1,0
"197",1,45,2211,3,0,13,1,0,1,1,"middle","center",0,6,1,0
"209",1,75,787,1,0,11,1,0,1,1,"left","end",0,7,1,0
"222",1,40,2065,2,0,11,1,0,0,0,"right","end",0,-9,1,0
"233",1,96,110,1,0,10,1,0,1,1,"middle","center",0,-23,1,0
"234",0,67,3558,1,0,10,1,0,0,0,"middle","center",0,0,1,0
"245",0,54,3476,2,0,15,0,0,0,0,"left","tackle",0,0,1,0
"261",0,47,862,2,0,16,1,1,0,0,"middle","center",0,-24,1,0
"262",0,31,834,1,0,13,1,1,0,0,"right","guard",0,-24,1,0
"274",1,36,2700,2,0,10,1,0,0,0,"middle","center",0,-13,0,0
"292",1,50,3375,2,0,11,0,0,0,0,"middle","center",0,0,1,0
"302",1,67,2079,2,0,10,0,0,0,0,"middle","center",0,-11,1,0
"320",0,83,1391,2,0,17,0,0,0,0,"middle","center",0,-13,0,0
"321",0,76,1371,2,0,11,0,0,0,0,"left","end",0,-13,1,0
"330",0,25,382,2,0,11,1,0,1,1,"left","end",0,-10,1,0
"338",0,52,2492,2,0,23,1,0,0,0,"left","end",0,-14,1,0
"348",0,63,1275,1,0,17,0,0,1,1,"right","end",0,-14,1,0
"3",1,75,2856,1,0,5,0,0,0,0,"middle","center",0,-10,0,0
"7",1,18,2157,2,1,6,1,0,1,1,"right","end",0,-10,0,0
"8",1,75,1800,1,0,6,0,0,0,0,"right","end",0,-10,0,0
"11",1,34,1537,1,0,6,0,0,0,0,"middle","center",0,-10,0,0
"15",1,30,548,1,0,7,1,1,0,0,"middle","center",0,-24,0,0
"16",1,23,517,2,0,3,1,1,0,0,"middle","center",0,-24,1,0
"26",0,43,2227,2,0,4,1,0,0,0,"left","guard",0,-3,1,0
"31",0,56,1157,3,0,8,1,0,1,1,"middle","center",0,-3,0,0
"39",1,56,3266,2,0,5,0,0,0,0,"middle","center",0,7,1,0
"46",1,89,2370,2,0,5,1,0,1,1,"middle","center",0,14,0,0
"59",0,68,3161,2,0,3,0,0,0,0,"middle","center",0,-7,1,0
"68",0,62,1763,1,0,8,0,0,0,0,"middle","center",0,-11,0,0
"69",0,54,1723,2,0,6,0,0,0,0,"middle","center",0,-11,1,0
"71",0,51,1618,1,0,5,0,0,0,0,"middle","center",0,-11,0,0
"72",0,24,1434,1,0,6,0,0,0,0,"left","tackle",0,-11,0,0
"81",0,76,900,2,0,3,0,0,0,0,"middle","center",0,3,1,0
"99",0,41,2700,3,0,3,0,0,0,0,"left","end",0,-7,1,0
"104",0,16,2258,1,0,6,0,0,0,0,"left","guard",0,-14,0,0
"108",0,75,1796,2,0,7,0,0,0,0,"left","guard",0,-4,0,0
"111",0,64,1310,1,0,9,0,0,1,1,"middle","center",0,-4,0,0
"117",0,41,625,2,0,5,0,0,0,0,"middle","center",0,-4,0,0
"120",0,28,459,3,0,8,1,0,1,1,"middle","center",0,-4,1,0
"122",0,75,214,1,0,5,1,0,1,1,"right","end",0,-7,0,0
"128",1,78,2813,2,0,8,0,0,0,0,"left","end",0,-3,0,0
"139",1,43,1324,1,0,8,1,0,0,0,"middle","center",0,-3,0,0
"157",0,72,2509,1,0,6,1,0,0,0,"left","end",0,0,0,0
"158",0,66,2469,2,0,5,0,0,0,0,"right","tackle",0,0,1,0
"160",0,50,2347,1,0,7,0,0,0,0,"left","guard",0,0,0,0
"162",0,8,2232,2,1,5,0,0,0,0,"left","guard",0,0,0,0
"165",0,61,1984,2,0,8,1,0,0,0,"right","end",0,3,0,0
"166",0,57,1700,1,0,7,0,0,0,0,"right","guard",0,-1,0,0
"172",0,21,1441,1,0,6,0,0,0,0,"middle","center",0,-1,0,0
"184",0,24,193,1,0,7,0,0,0,0,"left","guard",0,14,0,0
"198",1,22,2130,1,0,9,0,0,0,0,"right","end",0,6,0,0
"203",1,79,1540,1,0,5,0,0,0,0,"middle","center",0,12,0,0
"207",1,65,1133,3,0,5,1,0,1,1,"left","end",0,12,1,0
"218",1,70,183,3,0,6,0,0,0,0,"middle","center",0,14,0,0
"220",1,66,2807,2,0,7,0,0,0,0,"right","tackle",0,-3,1,0
"226",1,36,1600,2,0,9,1,0,1,1,"middle","center",0,-6,1,0
"229",1,74,1155,3,0,9,1,0,1,1,"right","end",0,-9,1,0
"232",1,44,232,1,0,6,1,1,1,1,"middle","center",0,-23,0,0
"236",0,60,3295,1,0,6,1,0,0,0,"left","end",0,0,0,0
"238",0,71,2700,2,0,8,0,0,0,0,"middle","center",0,0,1,0
"247",0,28,3349,1,0,5,0,0,0,0,"middle","center",0,0,0,0
"249",0,81,2651,2,0,8,0,0,0,0,"middle","center",0,0,1,0
"251",0,72,2567,2,0,5,0,0,0,0,"left","guard",0,0,0,0
"258",0,67,1484,2,0,5,1,0,0,0,"left","guard",0,-25,0,0
"259",0,58,1246,3,0,5,0,0,0,0,"left","end",0,-32,1,0
"267",0,31,361,3,0,9,1,1,0,0,"right","guard",0,-25,1,0
"268",0,59,224,2,0,5,1,0,1,1,"right","end",0,-22,0,0
"269",0,38,144,1,0,6,1,0,0,0,"left","guard",0,-22,0,0
"270",1,80,3219,2,0,5,0,0,0,0,"middle","center",0,0,0,0
"275",1,26,2659,3,0,3,0,0,0,0,"middle","center",0,-13,1,0
"276",1,23,2609,1,0,7,0,0,0,0,"right","tackle",0,-13,0,0
"277",1,16,2571,2,0,4,1,0,0,0,"middle","center",0,-13,1,0
"288",1,63,3534,1,0,6,0,0,0,0,"middle","center",0,0,0,0
"290",1,54,3458,3,0,3,0,0,0,0,"middle","center",0,0,1,0
"297",1,75,3046,1,0,7,0,0,0,0,"middle","center",0,-4,0,0
"299",1,76,2649,3,0,7,1,0,1,1,"left","end",0,-4,1,0
"301",1,75,2118,1,0,8,0,0,1,1,"middle","center",0,-11,0,0
"305",1,47,1360,2,0,5,1,0,1,1,"right","end",0,-28,0,0
"306",1,70,946,1,0,8,1,1,0,0,"middle","center",0,-28,0,0
"309",1,50,418,2,0,7,1,0,1,1,"middle","center",0,-35,1,0
"310",0,75,3389,1,0,5,0,0,0,0,"middle","center",0,-7,0,0
"318",0,75,1800,1,0,7,0,0,0,0,"left","end",0,-13,0,0
"322",0,45,1305,1,0,5,1,0,0,0,"middle","center",0,-13,0,0
"331",0,57,82,2,0,8,1,1,1,1,"middle","center",0,-3,1,0
"332",0,75,3268,1,0,6,0,0,0,0,"left","guard",0,-14,0,0
"333",0,69,3235,2,0,5,1,0,1,1,"right","end",0,-14,1,0
"336",0,68,2619,1,0,6,0,0,0,0,"left","guard",0,-14,0,0
"339",0,29,2459,1,0,6,0,0,0,0,"left","end",0,-14,0,0
"342",0,99,2098,1,0,5,0,0,0,0,"left","tackle",0,-11,0,0
"349",0,40,1178,3,0,7,1,0,0,0,"left","tackle",0,-14,1,0
"352",0,66,788,2,0,4,1,0,0,0,"left","tackle",0,-18,1,0
"354",0,34,387,3,0,6,1,0,1,1,"left","end",0,-12,0,0
"358",1,79,2339,1,0,9,0,0,0,0,"left","end",0,-4,0,0
"359",1,70,2297,2,0,9,0,0,0,0,"left","end",0,-4,1,0
"360",1,41,1807,3,0,3,1,0,1,1,"left","end",0,-7,1,0
"362",1,62,1675,2,0,7,0,0,0,0,"left","end",0,-4,1,0
"370",1,33,420,2,0,6,0,0,0,0,"right","end",0,11,0,0
"371",1,27,373,3,0,7,1,0,1,1,"middle","center",0,11,1,0
"373",1,20,249,1,0,7,0,0,0,0,"left","end",0,18,0,0
"5",1,50,2737,1,0,3,0,0,0,0,"middle","center",0,-10,0,0
"6",1,33,2581,2,0,3,0,0,0,0,"middle","center",0,-10,0,0
"17",0,75,3600,1,0,3,1,0,0,0,"left","guard",0,0,0,0
"19",0,74,3330,1,0,3,1,0,1,1,"middle","center",0,0,0,0
"33",0,68,216,1,0,4,1,0,0,0,"right","guard",0,-7,0,0
"35",0,59,139,4,0,1,0,0,0,0,"middle","center",0,-7,1,0
"37",0,8,42,1,0,4,1,0,1,1,"right","end",0,-7,0,0
"38",1,85,3575,1,0,4,1,0,1,1,"middle","center",0,0,0,0
"41",1,26,3144,2,0,4,0,0,0,0,"right","end",0,7,0,0
"48",1,28,1460,1,0,4,0,0,0,0,"middle","center",0,14,0,0
"56",1,7,213,3,1,3,0,0,0,0,"middle","center",0,13,0,0
"58",0,97,3325,2,0,4,0,0,0,0,"left","tackle",0,0,0,0
"62",0,11,2980,1,0,3,1,0,0,0,"left","guard",0,-7,0,0
"66",0,54,2428,2,0,4,1,0,0,0,"middle","center",0,-11,0,0
"73",0,18,1395,2,0,3,0,0,0,0,"middle","center",0,-11,0,0
"75",0,15,1316,4,0,2,0,0,0,0,"right","guard",0,-11,1,0
"77",0,11,1231,2,0,4,0,0,0,0,"middle","center",0,-11,0,0
"79",0,22,1001,1,0,4,0,0,0,0,"right","guard",0,-4,0,0
"83",0,62,817,1,0,4,0,0,0,0,"left","tackle",0,3,0,0
"86",0,63,468,2,0,4,0,0,0,0,"left","guard",0,3,0,0
"88",0,38,332,1,0,3,0,0,0,0,"right","guard",0,3,0,0
"89",0,35,289,2,0,3,0,0,0,0,"left","guard",0,3,0,0
"93",0,20,50,1,1,3,1,0,0,0,"left","tackle",0,-1,0,0
"95",0,55,3235,1,0,3,0,0,0,0,"middle","center",0,-7,0,0
"98",0,49,2752,1,0,3,0,0,0,0,"left","guard",0,-7,0,0
"107",0,25,1877,2,0,4,1,0,0,0,"middle","center",0,-7,0,0
"112",0,55,1272,2,0,2,0,0,0,0,"left","guard",0,-4,1,0
"113",0,58,1202,1,0,3,1,0,0,0,"middle","center",0,-4,0,0
"116",0,45,669,1,0,4,0,0,0,0,"middle","center",0,-4,0,0
"118",0,36,579,3,0,2,0,0,0,0,"right","tackle",0,-4,1,0
"124",1,91,3458,1,0,4,0,0,0,0,"middle","center",0,0,0,0
"125",1,80,3383,2,0,3,0,0,0,0,"middle","center",0,0,0,0
