"","home_team","yardline_100","game_seconds_remaining","down","goal_to_go","yards_gained","shotgun","no_huddle","pass_length","pass_location","td_team","score_differential","first_down_pass","incomplete_pass","interception","safety","Quality"
"2","1",76,3556,2,0,8,1,0,"short","right","0",0,0,0,0,0,2
"3","1",68,3516,3,0,68,1,0,"short","middle","2",0,1,0,0,0,0
"7","1",79,3404,1,0,42,1,0,"deep","right","0",7,1,0,0,0,0
"8","1",37,3360,1,0,21,1,0,"deep","middle","0",7,1,0,0,0,0
"10","1",11,3282,2,0,2,1,0,"short","right","0",7,0,0,0,0,3
"11","1",9,3245,3,0,0,1,0,"short","left","0",7,0,1,0,0,4
"19","1",85,3013,1,0,13,1,0,"short","right","0",3,0,0,0,0,1
"22","1",57,2903,2,0,8,1,0,"short","right","0",3,1,0,0,0,1
"23","1",49,2865,1,0,49,0,0,"deep","right","2",3,1,0,0,0,0
"32","1",75,2496,1,0,41,0,0,"deep","left","0",7,1,0,0,0,0
"34","1",31,2419,2,0,22,1,0,"short","left","0",7,1,0,0,0,0
"35","1",9,2380,1,1,0,1,0,"short","left","0",7,0,1,0,0,4
"37","1",7,2328,3,1,0,1,0,"short","left","0",7,0,0,0,0,4
"42","1",75,2062,1,0,18,0,0,"short","left","0",7,1,0,0,0,1
"43","1",57,2021,1,0,5,1,0,"short","left","0",7,0,0,0,0,2
"46","1",44,1920,1,0,5,1,0,"short","right","0",7,0,0,0,0,2
"47","1",39,1882,2,0,8,0,0,"short","left","0",7,1,0,0,0,1
"48","1",31,1850,1,0,3,1,1,"short","left","0",7,0,0,0,0,3
"49","1",28,1845,2,0,0,1,0,"deep","right","0",7,0,1,0,0,4
"50","1",28,1833,3,0,0,1,0,"deep","middle","0",7,0,1,0,0,4
"63","1",59,1396,2,0,8,1,0,"short","right","0",10,0,0,0,0,2
"65","1",49,1315,1,0,9,1,0,"short","right","0",10,0,0,0,0,2
"68","1",38,1197,2,0,12,1,0,"short","middle","0",10,1,0,0,0,1
"69","1",26,1155,1,0,0,1,0,"short","left","0",10,0,1,0,0,4
"70","1",16,1130,1,0,15,1,0,"short","right","0",10,1,0,0,0,1
"71","1",1,1085,1,1,-1,1,0,"short","middle","0",10,0,0,0,0,4
"76","1",67,915,1,0,7,1,0,"short","left","0",17,0,0,0,0,2
"80","1",17,725,2,0,0,1,0,"short","right","0",17,0,1,0,0,4
"81","1",17,722,3,0,9,1,0,"short","right","0",17,1,0,0,0,1
"83","1",3,662,2,1,3,1,0,"short","right","2",17,1,0,0,0,2
"94","1",44,368,3,0,3,1,0,"short","left","0",18,0,0,0,0,3
"95","1",51,338,3,0,0,1,0,"short","left","0",18,0,1,0,0,4
"99","1",17,221,3,0,0,1,0,"short","left","0",18,0,1,0,0,4
"116","0",77,3390,2,0,0,0,0,"short","right","0",0,0,1,0,0,4
"117","0",77,3384,3,0,3,1,0,"short","right","0",0,0,0,0,0,3
"121","0",92,3249,1,0,6,1,0,"short","middle","0",0,0,0,0,0,2
"123","0",75,3189,1,0,1,1,0,"short","left","0",0,0,0,0,0,3
"125","0",67,3108,3,0,6,1,0,"short","right","0",0,1,0,0,0,2
"126","0",61,3072,1,0,0,0,0,"deep","left","0",0,0,1,0,0,4
"128","0",53,3023,3,0,3,1,0,"short","right","0",0,1,0,0,0,2
"129","0",50,2991,1,0,13,0,0,"short","middle","0",0,1,0,0,0,1
"131","0",33,2913,2,0,7,1,0,"short","right","0",0,1,0,0,0,1
"132","0",26,2871,1,0,0,1,0,"deep","right","0",0,0,1,0,0,4
"134","0",21,2822,3,0,0,1,0,"deep","right","0",0,0,1,0,0,4
"141","0",92,2615,1,0,28,1,0,"deep","right","0",3,1,0,0,0,0
"144","0",69,2507,3,0,0,1,0,"deep","left","0",3,0,1,0,0,4
"149","0",67,2367,2,0,0,0,0,"deep","right","0",3,0,1,0,0,4
"162","0",61,1934,2,0,-1,1,0,"short","left","0",0,0,0,0,0,4
"163","0",67,1920,3,0,16,1,0,"short","middle","0",0,1,0,0,0,1
"165","0",46,1851,2,0,0,1,0,"deep","left","0",0,0,1,0,0,4
"166","0",46,1846,3,0,7,1,0,"short","middle","0",0,1,0,0,0,1
"168","0",35,1816,2,0,31,1,0,"deep","right","0",0,1,0,0,0,0
"169","0",4,1809,1,1,0,1,0,"short","right","0",0,0,1,0,0,4
"170","0",80,1800,1,0,14,0,0,"short","middle","0",3,0,0,0,0,1
"180","0",88,1428,1,0,7,1,0,"short","left","0",3,0,0,0,0,2
