"","home_team","yardline_100","game_seconds_remaining","down","goal_to_go","yards_gained","shotgun","no_huddle","qb_dropback","pass_length","pass_location","td_team","score_differential","first_down_pass","incomplete_pass","interception","safety","Quality"
"5","1",76,3467,2,0,7,1,0,1,"short","right","0",-7,0,0,0,0,2
"6","1",69,3418,3,0,0,1,0,1,"deep","right","0",-7,0,1,0,0,4
"12","1",75,3237,1,0,0,1,0,1,"short","right","0",-10,0,1,0,0,4
"13","1",85,3205,2,0,2,1,0,1,"short","left","0",-10,0,0,0,0,3
"14","1",83,3161,3,0,21,1,0,1,"deep","middle","0",-10,1,0,0,0,0
"15","1",47,3130,1,0,10,1,0,1,"short","left","0",-10,1,0,0,0,1
"17","1",35,3037,2,0,0,0,0,1,"short","right","0",-10,0,1,0,0,4
"18","1",35,3031,3,0,35,1,0,1,"deep","right","1",-10,1,0,0,0,4
"25","1",70,2817,2,0,8,1,0,1,"short","left","0",-10,1,0,0,0,1
"28","1",47,2700,2,0,20,1,0,1,"short","middle","0",-10,1,0,0,0,0
"29","1",37,2625,1,0,4,1,0,1,"short","left","0",-10,0,0,0,0,2
"31","1",30,2538,3,0,11,1,0,1,"short","left","0",-10,0,0,0,0,1
"38","1",75,2276,1,0,69,0,0,1,"deep","middle","0",-10,1,0,0,0,0
"39","1",16,2199,1,1,-2,1,0,1,"short","right","0",-10,0,0,0,0,4
"41","1",12,2105,3,1,7,1,0,1,"short","middle","0",-10,0,0,0,0,2
"51","1",75,1824,1,0,6,1,0,1,"short","left","0",-10,0,0,0,0,2
"52","1",79,1813,2,0,5,1,0,1,"short","left","0",-10,0,0,0,0,2
"55","1",68,1693,3,0,12,1,0,1,"short","right","0",-10,1,0,0,0,1
"56","1",56,1648,1,0,7,0,0,1,"short","middle","0",-10,0,0,0,0,2
"57","1",49,1621,2,0,1,0,0,1,"short","right","0",-10,0,0,0,0,3
"61","1",26,1439,3,0,0,1,0,1,"short","middle","0",-10,0,0,0,0,4
"74","1",91,968,2,0,0,1,0,1,"short","right","0",-17,0,1,0,0,4
"85","1",77,621,2,0,12,1,1,1,"short","middle","0",-24,1,0,0,0,1
"86","1",65,588,1,0,35,1,1,1,"deep","right","0",-24,1,0,0,0,0
"89","1",20,490,1,0,5,1,1,1,"short","left","0",-24,0,0,0,0,2
"90","1",15,460,2,0,15,1,1,1,"short","left","1",-24,1,0,0,0,4
"96","1",80,325,1,0,0,1,0,1,"short","middle","0",-18,0,0,1,0,4
"100","1",75,213,1,0,9,1,0,1,"short","left","0",-21,0,0,0,0,2
"101","1",66,185,2,0,9,1,0,1,"short","middle","0",-21,1,0,0,0,1
"102","1",42,175,1,0,0,1,0,1,"short","left","0",-21,0,1,0,0,4
"103","1",42,170,2,0,5,1,0,1,"short","left","0",-21,0,0,0,0,2
"104","1",37,148,3,0,16,1,0,1,"deep","middle","0",-21,1,0,0,0,1
"105","1",21,120,1,0,21,1,0,1,"deep","right","1",-21,1,0,0,0,4
