"","home_team","yardline_100","game_seconds_remaining","down","goal_to_go","yards_gained","shotgun","no_huddle","qb_dropback","qb_scramble","run_location","run_gap","td_team","score_differential","first_down_rush","incomplete_pass","safety","Quality"
"1","1",75,3596,1,0,-1,1,0,0,0,"middle","center","0",0,0,0,0,4
"9","1",16,3323,1,0,5,1,0,0,0,"right","end","0",7,0,0,0,1
"20","1",72,2978,2,0,13,0,0,0,0,"left","end","0",3,1,0,0,0
"21","1",59,2939,1,0,2,1,0,0,0,"middle","center","0",3,0,0,0,3
"33","1",34,2457,1,0,3,0,0,0,0,"right","end","0",7,0,0,0,2
"36","1",9,2376,2,1,2,1,0,0,0,"right","end","0",7,0,0,0,3
"44","1",52,1982,2,0,4,1,0,0,0,"middle","center","0",7,0,0,0,2
"45","1",48,1949,3,0,4,0,0,0,0,"middle","center","0",7,1,0,0,1
"62","1",60,1430,1,0,1,1,0,0,0,"left","end","0",10,0,0,0,3
"64","1",51,1352,3,0,2,0,0,0,0,"middle","center","0",10,1,0,0,2
"66","1",40,1271,2,0,2,1,0,0,0,"middle","center","0",10,1,0,0,2
"67","1",38,1236,1,0,0,1,0,0,0,"middle","center","0",10,0,0,0,4
"72","1",1,1048,1,1,1,1,0,0,0,"middle","center","2",10,1,0,0,1
"77","1",60,900,2,0,3,1,0,0,0,"left","end","0",17,1,0,0,1
"78","1",57,857,1,0,31,1,0,0,0,"left","end","0",17,1,0,0,0
"79","1",26,814,1,0,-1,1,0,0,0,"left","end","0",17,0,0,0,4
"82","1",8,700,1,1,5,1,0,0,0,"middle","center","0",17,0,0,0,1
"92","1",46,447,1,0,0,1,0,0,0,"middle","center","0",18,0,0,0,4
"93","1",46,428,2,0,2,1,0,0,0,"middle","center","0",18,0,0,0,3
"97","1",12,314,1,0,4,0,0,0,0,"middle","center","0",18,0,0,0,2
"98","1",8,269,2,0,1,0,0,0,0,"middle","center","0",18,0,0,0,3
"106","1",47,113,1,0,19,0,0,0,0,"middle","center","0",14,1,0,0,0
"107","1",28,100,1,0,6,0,0,0,0,"middle","center","0",14,0,0,0,1
"108","1",22,92,2,0,3,0,0,0,0,"middle","center","0",14,0,0,0,2
"109","1",19,85,3,0,3,0,0,0,0,"middle","center","0",14,1,0,0,1
"115","0",83,3412,1,0,6,0,0,0,0,"left","tackle","0",0,0,0,0,1
"122","0",86,3218,2,0,6,0,0,0,0,"left","tackle","0",0,1,0,0,1
"124","0",74,3151,2,0,7,1,0,0,0,"right","guard","0",0,0,0,0,1
"127","0",61,3065,2,0,8,1,0,0,0,"middle","center","0",0,0,0,0,1
"130","0",37,2955,1,0,4,1,0,0,0,"right","guard","0",0,0,0,0,2
"133","0",26,2863,2,0,5,1,0,0,0,"left","guard","0",0,0,0,0,1
"142","0",64,2590,1,0,3,1,0,0,0,"right","guard","0",3,0,0,0,2
"148","0",67,2396,1,0,0,0,0,0,0,"left","guard","0",3,0,0,0,4
"160","0",75,1997,1,0,14,1,0,0,0,"left","guard","0",0,1,0,0,0
"164","0",51,1886,1,0,5,0,0,0,0,"right","end","0",0,0,0,0,1
"167","0",39,1822,1,0,4,1,0,1,1,"right","tackle","0",0,0,0,0,2
"171","0",66,1772,2,0,3,1,0,0,0,"left","guard","0",3,1,0,0,1
"174","0",79,1659,3,0,19,1,0,0,0,"left","guard","0",3,0,0,0,0
"181","0",81,1398,2,0,5,0,0,0,0,"right","guard","0",3,1,0,0,1
"183","0",76,1357,2,0,3,1,0,0,0,"right","tackle","0",3,0,0,0,2
"189","0",99,1116,1,0,8,0,0,0,0,"middle","center","0",3,0,0,0,1
"190","0",91,1083,2,0,1,0,0,0,0,"right","tackle","0",3,0,0,0,3
"191","0",90,1043,3,0,5,1,0,0,0,"middle","center","0",3,1,0,0,1
"192","0",85,1011,1,0,7,1,0,0,0,"left","guard","0",3,0,0,0,1
"193","0",78,970,2,0,2,0,0,0,0,"right","tackle","0",3,0,0,0,3
"194","0",76,927,3,0,2,1,0,0,0,"middle","center","0",3,1,0,0,2
"195","0",74,900,1,0,-4,1,0,0,0,"left","end","0",3,0,0,0,4
"200","0",11,773,2,0,8,1,0,0,0,"middle","center","0",3,0,0,0,1
"201","0",3,733,3,0,1,1,0,0,0,"left","guard","0",3,0,0,0,3
"202","0",2,701,4,0,2,1,0,0,0,"middle","center","2",3,1,0,0,2
"211","0",75,361,1,0,1,0,0,0,0,"middle","center","0",7,0,0,0,3
"213","0",65,283,1,0,1,1,0,0,0,"middle","center","0",7,0,0,0,3
"215","0",74,231,3,0,1,1,0,0,0,"right","tackle","0",7,0,0,0,3
"235","1",75,3482,1,0,2,0,0,0,0,"right","end","0",-7,0,0,0,3
"236","1",73,3444,2,0,8,0,0,0,0,"middle","center","0",-7,1,0,0,1
"238","1",75,3360,2,0,4,1,0,0,0,"middle","center","0",-7,0,0,0,2
"246","1",74,3086,1,0,4,0,0,0,0,"middle","center","0",-14,0,0,0,2
"248","1",47,3002,1,0,1,0,0,0,0,"middle","center","0",-14,0,0,0,3
"255","1",26,2763,1,0,1,0,0,0,0,"left","end","0",-14,0,0,0,3
"257","1",35,2738,2,0,-5,0,0,0,0,"left","end","0",-14,0,0,0,4
"264","1",67,2489,1,0,4,0,0,0,0,"middle","center","0",-14,0,0,0,2
"271","1",79,2272,2,0,7,0,0,0,0,"right","end","0",-14,0,0,0,1
"272","1",82,2244,2,0,12,1,0,1,1,"right","end","0",-14,0,0,0,0
"273","1",70,2226,3,0,3,0,0,0,0,"middle","center","0",-14,1,0,0,1
"274","1",67,2185,1,0,8,0,0,0,0,"left","end","0",-14,0,0,0,1
"275","1",59,2142,2,0,1,1,0,0,0,"middle","center","0",-14,0,0,0,3
"276","1",58,2106,3,0,2,0,0,0,0,"middle","center","0",-14,1,0,0,2
"291","1",61,1719,1,0,-1,0,0,0,0,"right","end","0",-14,0,0,0,4
"294","1",15,1636,1,0,4,1,0,0,0,"middle","center","0",-14,0,0,0,2
"304","1",75,1374,1,0,0,0,0,0,0,"middle","center","0",-17,0,0,0,4
"305","1",75,1334,2,0,11,0,0,0,0,"left","guard","0",-17,1,0,0,0
"306","1",64,1299,1,0,2,0,1,0,0,"left","end","0",-17,0,0,0,3
"309","1",54,1169,1,0,1,1,0,0,0,"middle","center","0",-17,0,0,0,3
"312","1",40,1095,1,0,-1,0,0,0,0,"left","end","0",-17,0,0,0,4
"323","1",10,742,1,1,9,0,0,1,1,"right","end","0",-17,0,0,0,1
"324","1",1,728,1,1,1,0,0,0,0,"left","end","2",-17,1,0,0,1
"333","1",75,454,1,0,7,1,0,1,1,"left","end","0",-13,0,0,0,1
"335","1",61,401,1,0,1,1,0,1,1,"right","end","0",-13,0,0,0,3
"343","1",96,203,1,0,5,0,0,0,0,"middle","center","0",-13,0,0,0,1
"356","0",65,3558,1,0,2,0,0,0,0,"middle","center","0",0,0,0,0,3
"361","0",40,3398,3,0,1,0,0,0,0,"left","end","0",0,0,0,0,3
"365","0",53,3247,1,0,28,1,0,0,0,"right","tackle","0",0,1,0,0,0
"376","0",74,2886,1,0,4,1,0,0,0,"right","end","0",4,0,0,0,2
"382","0",69,2771,1,0,3,0,0,0,0,"middle","center","0",4,0,0,0,2
"393","0",93,2508,2,0,2,0,0,0,0,"left","guard","0",11,0,0,0,3
"398","0",64,2323,1,0,3,0,0,0,0,"right","guard","0",11,0,0,0,2
"399","0",61,2290,2,0,6,1,0,0,0,"right","tackle","0",11,0,0,0,1
"400","0",55,2251,3,0,2,0,0,0,0,"middle","center","0",11,1,0,0,2
"410","0",76,1941,1,0,7,0,0,0,0,"right","tackle","0",14,0,0,0,1
"411","0",69,1920,2,0,2,1,0,0,0,"middle","center","0",14,0,0,0,3
