"","home_team","yardline_100","game_seconds_remaining","down","goal_to_go","yards_gained","shotgun","no_huddle","qb_dropback","qb_scramble","run_location","run_gap","td_team","score_differential","first_down_rush","safety","Quality"
"4","1",75,3504,1,0,-1,1,0,0,0,"left","end","0",-7,0,0,4
"16","1",37,3079,1,0,2,0,0,0,0,"middle","center","0",-10,0,0,3
"24","1",75,2856,1,0,5,0,0,0,0,"middle","center","0",-10,0,0,1
"26","1",62,2782,1,0,12,0,0,0,0,"left","end","0",-10,1,0,0
"27","1",50,2737,1,0,3,0,0,0,0,"middle","center","0",-10,0,0,2
"30","1",33,2581,2,0,3,0,0,0,0,"middle","center","0",-10,0,0,2
"40","1",18,2157,2,1,6,1,0,1,1,"right","end","0",-10,0,0,1
"53","1",75,1800,1,0,6,0,0,0,0,"right","end","0",-10,0,0,1
"54","1",69,1736,2,0,1,0,0,0,0,"middle","center","0",-10,0,0,3
"58","1",48,1582,3,0,14,1,0,0,0,"middle","center","0",-10,1,0,0
"59","1",34,1537,1,0,6,0,0,0,0,"middle","center","0",-10,0,0,1
"60","1",28,1488,2,0,2,0,0,0,0,"middle","center","0",-10,0,0,3
"75","1",91,963,3,0,10,1,0,0,0,"middle","center","0",-17,0,0,0
"84","1",79,649,1,0,2,1,0,0,0,"right","end","0",-24,0,0,3
"87","1",30,548,1,0,7,1,1,0,0,"middle","center","0",-24,0,0,1
"88","1",23,517,2,0,3,1,1,0,0,"middle","center","0",-24,1,0,1
"110","0",75,3600,1,0,3,1,0,0,0,"left","guard","0",0,0,0,2
"112","0",63,3537,1,0,1,0,0,0,0,"middle","center","0",0,0,0,3
"118","0",74,3330,1,0,3,1,0,1,1,"middle","center","0",0,0,0,2
"119","0",71,3295,2,0,2,0,0,0,0,"left","tackle","0",0,0,0,3
"135","0",85,2808,1,0,1,0,0,0,0,"right","guard","0",-3,0,0,3
"137","0",84,2763,3,0,21,1,0,1,1,"right","end","0",-3,1,0,0
"139","0",67,2700,2,0,2,1,0,1,1,"middle","center","0",-3,0,0,3
"145","0",85,2494,1,0,2,0,0,0,0,"right","guard","0",-3,0,0,3
"152","0",62,2278,2,0,10,0,0,0,0,"left","end","0",-3,1,0,0
"154","0",43,2227,2,0,4,1,0,0,0,"left","guard","0",-3,1,0,1
"158","0",37,2085,2,0,14,0,0,0,0,"middle","center","0",-3,0,0,0
"175","0",75,1612,1,0,1,0,0,0,0,"left","end","0",-3,0,0,3
"177","0",64,1531,1,0,2,0,0,0,0,"middle","center","0",-3,0,0,3
"187","0",43,1242,2,0,2,1,0,0,0,"left","tackle","0",-3,0,0,3
"188","0",56,1157,3,0,8,1,0,1,1,"middle","center","0",-3,0,0,1
"203","0",75,695,1,0,0,1,0,0,0,"left","tackle","0",-10,0,0,4
"216","0",68,216,1,0,4,1,0,0,0,"right","guard","0",-7,0,0,2
"218","0",59,180,3,0,0,1,0,0,0,"right","guard","0",-7,0,0,4
"219","0",59,139,4,0,1,0,0,0,0,"middle","center","0",-7,1,0,2
"227","0",31,52,4,0,18,1,0,1,1,"right","end","0",-7,1,0,0
"228","0",8,42,1,0,4,1,0,1,1,"right","end","0",-7,0,0,2
"231","1",85,3575,1,0,4,1,0,1,1,"middle","center","0",0,0,0,2
"241","1",56,3266,2,0,5,0,0,0,0,"middle","center","0",7,1,0,1
"243","1",23,3181,1,0,-3,0,0,0,0,"middle","center","0",7,0,0,4
"244","1",26,3144,2,0,4,0,0,0,0,"right","end","0",7,0,0,2
"252","1",83,2860,2,0,-7,0,0,0,0,"left","end","0",14,0,0,4
"259","1",85,2656,1,0,0,0,0,0,0,"middle","center","0",14,0,0,4
"261","1",59,2569,1,0,-4,0,0,0,0,"right","end","0",14,0,0,4
"263","1",63,2523,3,0,10,1,0,1,1,"right","tackle","0",14,0,0,0
"268","1",89,2370,2,0,5,1,0,1,1,"middle","center","0",14,0,0,1
"299","1",43,1544,1,0,0,0,0,0,0,"middle","center","0",14,0,0,4
"301","1",28,1460,1,0,4,0,0,0,0,"middle","center","0",14,0,0,2
"302","1",24,1417,2,0,2,0,0,0,0,"middle","center","0",14,0,0,3
"316","1",77,925,2,0,0,0,0,0,0,"middle","center","0",17,0,0,4
"327","1",45,668,1,0,0,0,0,0,0,"middle","center","0",10,0,0,4
"330","1",33,569,1,0,-5,0,0,0,0,"right","end","0",10,0,0,4
"338","1",78,278,1,0,69,0,0,0,0,"middle","center","0",13,1,0,0
"339","1",9,222,1,1,2,0,0,0,0,"middle","center","0",13,0,0,3
"340","1",7,217,2,1,0,0,0,0,0,"right","end","0",13,0,0,4
"341","1",7,213,3,1,3,0,0,0,0,"middle","center","0",13,0,0,2
"362","0",99,3366,1,0,2,0,0,0,0,"middle","center","0",0,0,0,3
"363","0",97,3325,2,0,4,0,0,0,0,"left","tackle","0",0,0,0,2
"368","0",68,3161,2,0,3,0,0,0,0,"middle","center","0",-7,1,0,1
"370","0",46,3085,1,0,1,0,0,0,0,"right","guard","0",-7,0,0,3
"371","0",45,3040,2,0,10,1,0,0,0,"left","tackle","0",-7,1,0,0
"373","0",11,2980,1,0,3,1,0,0,0,"left","guard","0",-7,0,0,2
"388","0",75,2619,1,0,11,0,0,0,0,"left","tackle","0",-11,1,0,0
"389","0",64,2579,1,0,1,0,0,0,0,"left","guard","0",-11,0,0,3
"395","0",55,2460,1,0,1,1,0,0,0,"left","end","0",-11,0,0,3
"396","0",54,2428,2,0,4,1,0,0,0,"middle","center","0",-11,0,0,2
"422","0",75,1800,1,0,13,0,0,0,0,"left","tackle","0",-11,1,0,0
"423","0",62,1763,1,0,8,0,0,0,0,"middle","center","0",-11,0,0,1
"424","0",54,1723,2,0,6,0,0,0,0,"middle","center","0",-11,1,0,1
"425","0",48,1684,1,0,2,0,0,0,0,"right","end","0",-11,0,0,3
"426","0",51,1618,1,0,5,0,0,0,0,"middle","center","0",-11,0,0,1
"431","0",24,1434,1,0,6,0,0,0,0,"left","tackle","0",-11,0,0,1
