"","home_team","yardline_100","game_seconds_remaining","goal_to_go","yards_gained","shotgun","no_huddle","score_differential","first_down_pass","incomplete_pass","interception","down_2","down_3","down_4","pass_length_short","pass_location_middle","pass_location_right","td_team_1"
"1",1,0.84375,0.878055555555556,0,0.319444444444444,1,0,0.480769230769231,1,0,0,0,1,0,0,1,0,0
"2",1,0.34375,0.841944444444444,0,0.513888888888889,1,0,0.480769230769231,1,0,0,0,1,0,0,0,1,1
"3",1,0.46875,0.75,0,0.305555555555556,1,0,0.480769230769231,1,0,0,1,0,0,1,1,0,0
"4",1,0.760416666666667,0.632222222222222,0,0.986111111111111,0,0,0.480769230769231,1,0,0,0,0,0,0,1,0,0
"5",1,0.65625,0.163333333333333,0,0.513888888888889,1,1,0.211538461538462,1,0,0,0,0,0,0,0,1,0
"6",1,0.197916666666667,0.0333333333333333,0,0.319444444444444,1,0,0.269230769230769,1,0,0,0,0,0,0,0,1,1
"7",0,0.75,0.166388888888889,0,0.458333333333333,1,0,0.480769230769231,1,0,0,0,1,0,0,0,1,0
"8",0,0.53125,0.154166666666667,0,0.305555555555556,1,0,0.480769230769231,1,0,0,0,0,0,1,0,0,0
"9",1,0.510416666666667,0.895,0,0.416666666666667,0,0,0.807692307692308,1,0,0,0,0,0,0,0,1,0
"10",1,0.208333333333333,0.861666666666667,0,0.333333333333333,1,0,0.807692307692308,1,0,0,0,1,0,0,0,0,1
"11",1,0.8125,0.440833333333333,0,0.541666666666667,0,0,0.942307692307692,1,0,0,0,0,0,0,0,1,0
"12",0,0.34375,0.831944444444444,0,0.361111111111111,1,0,0.538461538461538,1,0,0,0,0,0,0,0,1,0
"13",0,0.59375,0.0216666666666667,0,0.472222222222222,1,0,0.653846153846154,1,0,0,0,0,0,0,0,0,0
"14",0,0.760416666666667,0.906388888888889,0,0.305555555555556,0,0,0.538461538461538,1,0,0,0,0,0,1,0,1,0
"15",0,0.364583333333333,0.876111111111111,0,0.541666666666667,0,0,0.538461538461538,1,0,0,0,0,0,0,0,0,1
"16",0,0.84375,0.662777777777778,0,0.513888888888889,0,0,0.403846153846154,1,0,0,0,0,0,1,0,1,0
"17",0,0.458333333333333,0.640833333333333,0,0.444444444444444,1,0,0.403846153846154,1,0,0,1,0,0,0,0,1,0
"18",0,0.635416666666667,0.435833333333333,0,0.458333333333333,1,0,0.461538461538462,1,0,0,1,0,0,1,1,0,0
"19",0,0.3125,0.427777777777778,0,0.458333333333333,0,0,0.461538461538462,1,0,0,0,0,0,0,0,1,0
"20",0,0.96875,0.0263888888888889,0,0.388888888888889,1,0,0.538461538461538,1,0,0,0,1,0,0,0,0,0
"21",1,0.541666666666667,0.629444444444444,0,0.333333333333333,1,0,0.615384615384615,1,0,0,0,1,0,0,1,0,0
"22",1,0.760416666666667,0.5,0,0.305555555555556,0,0,0.673076923076923,1,0,0,0,0,0,1,0,0,0
"23",1,0.666666666666667,0.380555555555556,0,0.347222222222222,1,0,0.615384615384615,1,0,0,0,1,0,1,0,1,0
"24",0,0.385416666666667,0.961666666666667,0,0.430555555555556,1,0,0.673076923076923,1,0,0,1,0,0,0,0,1,0
"25",0,0.40625,0.632222222222222,0,0.486111111111111,1,0,0.673076923076923,1,0,0,0,1,0,0,0,1,0
"26",0,0.6875,0.515833333333333,0,0.430555555555556,1,0,0.596153846153846,1,0,0,1,0,0,0,1,0,0
"27",0,0.4375,0.510555555555556,0,0.486111111111111,1,0,0.596153846153846,1,0,0,0,1,0,0,0,1,0
"28",0,0.552083333333333,0.25,0,0.680555555555556,1,0,0.653846153846154,1,0,0,0,0,0,1,1,0,0
"29",1,0.708333333333333,0.773333333333333,0,1,1,0,0.653846153846154,1,0,0,1,0,0,0,1,0,1
"30",1,0.90625,0.675277777777778,0,0.430555555555556,1,0,0.788461538461538,1,0,0,0,1,0,0,0,1,0
"31",1,0.447916666666667,0.307777777777778,0,0.388888888888889,0,0,0.903846153846154,1,0,0,0,0,0,1,1,0,0
"32",1,0.71875,0.587222222222222,0,0.458333333333333,1,0,0.5,1,0,0,0,1,0,1,1,0,0
"33",1,0.395833333333333,0.201111111111111,0,0.305555555555556,1,0,0.365384615384615,1,0,0,0,1,0,0,1,0,0
"34",1,0.760416666666667,0.0719444444444444,0,0.458333333333333,1,0,0.230769230769231,1,0,0,0,0,0,0,0,1,0
"35",1,0.53125,0.00527777777777778,0,0.347222222222222,1,0,0.230769230769231,1,0,0,1,0,0,0,1,0,0
"36",0,0.333333333333333,0.867222222222222,0,0.5,1,0,0.673076923076923,1,0,0,1,0,0,1,1,0,1
"37",0,0.8125,0.0458333333333333,0,0.361111111111111,1,1,0.211538461538462,1,0,0,0,1,0,0,0,0,0
"38",0,0.1875,0.0180555555555556,0,0.305555555555556,1,1,0.211538461538462,1,0,0,0,0,0,0,0,1,1
"39",0,0.739583333333333,0.595,0,0.402777777777778,0,0,0.538461538461538,1,0,0,1,0,0,1,0,1,0
"40",0,0.53125,0.339166666666667,0,0.319444444444444,1,0,0.0576923076923077,1,0,0,0,0,0,0,1,0,0
"41",0,0.71875,0.0686111111111111,0,0.333333333333333,1,0,0.25,1,0,0,0,0,0,1,0,0,0
"42",1,0.760416666666667,0.881666666666667,0,0.569444444444444,1,0,0.673076923076923,1,0,0,0,1,0,0,0,0,0
"43",1,0.6875,0.771944444444444,0,0.305555555555556,1,0,0.423076923076923,1,0,0,0,1,0,1,0,1,0
"44",1,0.364583333333333,0.25,0,0.444444444444444,1,0,0.288461538461538,1,0,0,0,0,0,0,0,1,0
"45",1,0.333333333333333,0.904166666666667,0,0.333333333333333,1,0,0.673076923076923,1,0,0,0,1,0,0,0,1,0
"46",0,0.697916666666667,0.920277777777778,0,0.791666666666667,1,0,0.538461538461538,1,0,0,0,1,0,0,0,0,0
"47",0,0.65625,0.374166666666667,0,0.305555555555556,0,0,0.423076923076923,1,0,0,0,0,0,0,0,0,0
"48",0,0.375,0.015,0,0.319444444444444,1,0,0.615384615384615,1,0,0,0,0,0,1,1,0,0
"49",0,0.625,0.211388888888889,0,0.305555555555556,1,0,0.326923076923077,1,0,0,0,0,0,1,0,1,0
"50",0,0.416666666666667,0.202222222222222,0,0.611111111111111,1,0,0.326923076923077,1,0,0,0,0,0,0,0,1,1
"51",0,0.270833333333333,0.0958333333333333,0,0.347222222222222,1,0,0.442307692307692,1,0,0,0,0,1,0,0,1,0
"52",1,0.291666666666667,0.878611111111111,0,0.361111111111111,0,0,0.615384615384615,1,0,0,1,0,0,1,0,1,0
"53",1,0.59375,0.604722222222222,0,0.652777777777778,1,0,0.596153846153846,1,0,0,0,1,0,0,0,0,0
"54",1,0.46875,0.869444444444444,0,0.166666666666667,1,0,0.480769230769231,1,0,0,0,0,0,1,0,0,0
"55",1,0.708333333333333,0.7825,0,0.138888888888889,1,0,0.480769230769231,1,0,0,1,0,0,1,0,0,0
"56",1,0.291666666666667,0.705,0,0.180555555555556,1,0,0.480769230769231,0,0,0,0,1,0,1,0,0,0
"57",1,0.6875,0.470277777777778,0,0.194444444444444,1,0,0.480769230769231,1,0,0,0,1,0,1,0,1,0
"58",1,0.78125,0.1725,0,0.194444444444444,1,1,0.211538461538462,1,0,0,1,0,0,1,1,0,0
"59",1,0.135416666666667,0.127777777777778,0,0.236111111111111,1,1,0.211538461538462,1,0,0,1,0,0,1,0,0,1
"60",1,0.666666666666667,0.0513888888888889,0,0.152777777777778,1,0,0.269230769230769,1,0,0,1,0,0,1,1,0,0
"61",1,0.364583333333333,0.0411111111111111,0,0.25,1,0,0.269230769230769,1,0,0,0,1,0,0,1,0,0
"62",0,0.729166666666667,0.989722222222222,0,0.152777777777778,1,0,0.673076923076923,1,0,0,1,0,0,1,0,0,0
"63",0,0.4375,0.601944444444444,0,0.25,1,0,0.615384615384615,1,0,0,1,0,0,1,0,1,0
"64",0,0.75,0.436111111111111,0,0.166666666666667,1,0,0.615384615384615,1,0,0,1,0,0,1,0,0,0
"65",0,0.645833333333333,0.361111111111111,0,0.222222222222222,0,0,0.615384615384615,1,0,0,0,0,0,1,0,0,0
"66",0,0.322916666666667,0.143055555555556,0,0.208333333333333,1,0,0.480769230769231,1,0,0,0,0,0,1,0,0,0
"67",0,0.291666666666667,0.126666666666667,0,0.166666666666667,1,0,0.480769230769231,0,0,0,0,0,0,1,1,0,0
"68",0,0.572916666666667,0.0216666666666667,0,0.194444444444444,1,0,0.538461538461538,1,0,0,0,1,0,1,0,1,0
"69",0,0.447916666666667,0.0197222222222222,0,0.222222222222222,1,0,0.538461538461538,1,0,0,0,0,0,1,0,1,0
"70",1,0.822916666666667,0.980555555555556,0,0.236111111111111,1,0,0.673076923076923,0,0,0,1,0,0,1,0,1,0
"71",1,0.0520833333333333,0.968611111111111,1,0.125,0,0,0.673076923076923,1,0,0,0,0,0,1,0,0,1
"72",1,0.864583333333333,0.728055555555556,0,0.180555555555556,1,0,0.942307692307692,1,0,0,1,0,0,1,0,1,0
"73",1,0.864583333333333,0.506388888888889,0,0.152777777777778,1,1,0.942307692307692,1,0,0,1,0,0,1,1,0,0
